table_name,table_description_ko,table_description_en,domain,keywords,sample_queries
IB_MNT_PARTSLIB,실장 부품 라이브러리 테이블. 실장 관련 정보를 관리한다.,Mounting Parts Library table. Manages mounting parts library information.,SMT/실장,MNT PARTSLIB SMT 부품 라이브러리 실장,실장 정보 조회|실장 현황|SMT 현황
IB_MNT_PARTSLIB_BM,실장 부품 라이브러리 BM 테이블. 실장 관련 정보를 관리한다.,Mounting Parts Library BM table. Manages mounting parts library bm information.,SMT/실장,BM MNT PARTSLIB SMT 부품 라이브러리 실장,실장 정보 조회|실장 현황|SMT 현황
IB_MNT_PARTSLIB_NMP,실장 부품 라이브러리 NMP 테이블. 실장 관련 정보를 관리한다.,Mounting Parts Library NMP table. Manages mounting parts library nmp information.,SMT/실장,MNT NMP PARTSLIB SMT 부품 라이브러리 실장,실장 정보 조회|실장 현황|SMT 현황
IB_MNT_PART_INFORMATION,실장 부품 INFORMATION 테이블. 실장 관련 정보를 관리한다.,Mounting Part INFORMATION table. Manages mounting part information information.,SMT/실장,INFORMATION MNT PART SMT 부품 실장,실장 정보 조회|실장 현황|SMT 현황
IB_MNT_PLANDATA,실장 계획 데이터 테이블. 실장 관련 정보를 관리한다.,Mounting Plan Data table. Manages mounting plan data information.,SMT/실장,MNT PLANDATA SMT 계획 데이터 실장,실장 정보 조회|실장 현황|SMT 현황
IB_MNT_POSITIONDATA,실장 POSITIONDATA 테이블. 실장 관련 정보를 관리한다.,Mounting POSITIONDATA table. Manages mounting positiondata information.,SMT/실장,MNT POSITIONDATA SMT 실장,실장 정보 조회|실장 현황|SMT 현황
IB_MNT_POSITIONDATA_NPM,실장 POSITIONDATA NPM 테이블. 실장 관련 정보를 관리한다.,Mounting POSITIONDATA NPM table. Manages mounting positiondata npm information.,SMT/실장,MNT NPM POSITIONDATA SMT 실장,실장 정보 조회|실장 현황|SMT 현황
IB_MNT_STEP_INFOR,실장 스텝 정보 테이블. 실장 관련 정보를 관리한다.,Mounting Step Information table. Manages mounting step information information.,SMT/실장,INFOR MNT SMT STEP 스텝 실장 정보,실장 정보 조회|실장 현황|SMT 현황
IB_MNT_STOCKDATA,실장 STOCKDATA 테이블. 실장 관련 정보를 관리한다.,Mounting STOCKDATA table. Manages mounting stockdata information.,SMT/실장,MNT SMT STOCKDATA 실장,실장 정보 조회|실장 현황|SMT 현황
IB_MNT_TAPE_FEEDER_INFOR,실장 테이프 피더 정보 테이블. 실장 관련 정보를 관리한다.,Mounting Tape Feeder table. Manages mounting tape feeder information.,SMT/실장,FEEDER INFOR MNT SMT TAPE 실장 정보 테이프 피더,실장 정보 조회|실장 현황|SMT 현황
IB_MNT_YAMAHA_CSV,실장 야마하 CSV 데이터 테이블. 실장 관련 정보를 관리한다.,Mounting Yamaha CSV Data table. Manages mounting yamaha csv data information.,SMT/실장,CSV CSV 데이터 MNT SMT YAMAHA 실장 야마하,실장 정보 조회|실장 현황|SMT 현황
IB_MONITORING_MST,모니터링 마스터 테이블. 모니터링 정보를 관리한다.,Monitoring master table. Manages monitoring information.,SMT/실장,MONITORING MST SMT 마스터 모니터링 실장,모니터링 정보 조회|모니터링 목록|SMT 현황
IB_PRODUCT_PLANDATA,제품 계획 데이터 테이블. 제품 관련 정보를 관리한다.,Product Plan Data table. Manages product plan data information.,SMT/실장,PLANDATA PRODUCT SMT 계획 데이터 실장 제품,제품 정보 조회|제품 현황|SMT 현황
IB_PRODUCT_PLANDATA_BACKUP,제품 계획 데이터 백업 테이블. 변경 전 제품 계획 데이터 데이터를 보관한다.,Product Plan Data backup table. Stores backup of product plan data data.,SMT/실장,BACKUP PLANDATA PRODUCT SMT 계획 데이터 백업 실장 제품,제품 정보 조회|제품 현황|SMT 현황
IB_RECYCLE_CHECKHIST,재활용 CHECKHIST 테이블. 재활용 관련 정보를 관리한다.,Recycle CHECKHIST table. Manages recycle checkhist information.,SMT/실장,CHECKHIST RECYCLE SMT 실장 재활용,재활용 정보 조회|재활용 현황|SMT 현황
IB_SMT_BOM_IMAGE,SMT BOM 이미지 테이블. SMT 관련 정보를 관리한다.,SMT BOM Image table. Manages smt bom image information.,SMT/실장,BOM IMAGE SMT 실장 이미지,SMT 정보 조회|SMT 현황|SMT 현황
IB_SMT_CHECKHIST,SMT CHECKHIST 테이블. SMT 관련 정보를 관리한다.,SMT CHECKHIST table. Manages smt checkhist information.,SMT/실장,CHECKHIST SMT 실장,SMT 정보 조회|SMT 현황|SMT 현황
IB_SMT_FEEDER_SHAFT,SMT 피더 샤프트 테이블. SMT 관련 정보를 관리한다.,SMT Feeder Shaft table. Manages smt feeder shaft information.,SMT/실장,FEEDER SHAFT SMT 샤프트 실장 피더,SMT 정보 조회|SMT 현황|SMT 현황
IB_SMT_FULLCHECK_TIME,SMT 전수검사 TIME 테이블. SMT 관련 정보를 관리한다.,SMT Full Check TIME table. Manages smt full check time information.,SMT/실장,FULLCHECK SMT TIME 실장 전수검사,SMT 검사 결과|SMT 검사 현황|SMT 현황
IB_SMT_LINE_ONOFF_HISTORY,SMT 라인 ONOFF 이력 테이블. SMT 라인 ONOFF 변경/처리 이력을 기록한다.,SMT Line ONOFF history table. Records smt line onoff change history.,SMT/실장,HISTORY LINE ONOFF SMT 라인 실장 이력,SMT 이력 조회|SMT 변경 이력|SMT 현황
IB_SMT_PRODUCT_MASTER_PLAN,SMT 제품 마스터 테이블. SMT 제품 정보를 관리한다.,SMT Product master table. Manages smt product information.,SMT/실장,MASTER PLAN PRODUCT SMT 계획 마스터 실장 제품,SMT 계획 조회|당일 SMT 계획|SMT 현황
IB_SMT_SW,SMT SW 테이블. SMT 관련 정보를 관리한다.,SMT SW table. Manages smt sw information.,SMT/실장,SMT SW 실장,SMT 정보 조회|SMT 현황|SMT 현황
ICOM_CUSTOMER,고객 테이블. 고객 관련 정보를 관리한다.,Customer table. Manages customer information.,공통,CUSTOMER 고객 공통 마스터,고객 정보 조회|고객 현황
ICOM_CUSTOMER_COMPLAINTS,고객 COMPLAINTS 테이블. 고객 관련 정보를 관리한다.,Customer COMPLAINTS table. Manages customer complaints information.,공통,COMPLAINTS CUSTOMER 고객 공통 마스터,고객 정보 조회|고객 현황
ICOM_CUSTOMER_DOCUMENT,고객 DOCUMENT 테이블. 고객 관련 정보를 관리한다.,Customer DOCUMENT table. Manages customer document information.,공통,CUSTOMER DOCUMENT 고객 공통 마스터,고객 정보 조회|고객 현황
ICOM_DISPLAY_MESSAGE,DISPLAY 메시지 테이블. DISPLAY 관련 정보를 관리한다.,DISPLAY Message table. Manages display message information.,공통,DISPLAY MESSAGE 공통 마스터 메시지,DISPLAY 정보 조회|DISPLAY 현황
ICOM_DOCUMENT,DOCUMENT 테이블. DOCUMENT 관련 정보를 관리한다.,DOCUMENT table. Manages document information.,공통,DOCUMENT 공통 마스터,DOCUMENT 정보 조회|DOCUMENT 현황
ICOM_EMPLOYEE_ATTENDANCE,직원 ATTENDANCE 테이블. 직원 관련 정보를 관리한다.,Employee ATTENDANCE table. Manages employee attendance information.,공통,ATTENDANCE EMPLOYEE 공통 마스터 직원,직원 정보 조회|직원 현황
ICOM_EMPLOYEE_MASTER,직원 마스터 테이블. 직원 정보를 관리한다.,Employee master table. Manages employee information.,공통,EMPLOYEE MASTER 공통 마스터 직원,직원 정보 조회|직원 목록
ICOM_EXCEL,EXCEL 테이블. EXCEL 관련 정보를 관리한다.,EXCEL table. Manages excel information.,공통,EXCEL 공통 마스터,EXCEL 정보 조회|EXCEL 현황
ICOM_EXCHANGE_RATE,EXCHANGE RATE 테이블. EXCHANGE 관련 정보를 관리한다.,EXCHANGE RATE table. Manages exchange rate information.,공통,EXCHANGE RATE 공통 마스터,EXCHANGE 정보 조회|EXCHANGE 현황
ICOM_GATHERING_STATUS,GATHERING 상태 테이블. GATHERING 관련 정보를 관리한다.,GATHERING Status table. Manages gathering status information.,공통,GATHERING STATUS 공통 마스터 상태,GATHERING 정보 조회|GATHERING 현황
ICOM_GATHERING_STATUS_HIST,GATHERING 상태 이력 테이블. GATHERING 상태 변경/처리 이력을 기록한다.,GATHERING Status history table. Records gathering status change history.,공통,GATHERING HIST STATUS 공통 마스터 상태 이력,GATHERING 이력 조회|GATHERING 변경 이력
ICOM_INVENTORY_LOCATION,재고 위치 테이블. 재고 관련 정보를 관리한다.,Inventory Location table. Manages inventory location information.,공통,INVENTORY LOCATION 공통 마스터 위치 재고,재고 정보 조회|재고 현황
ICOM_MACHINE_INSERT_LOG,설비 INSERT 로그 테이블. 설비 INSERT 변경/처리 이력을 기록한다.,Machine INSERT log table. Records machine insert change history.,공통,INSERT LOG MACHINE 공통 로그 마스터 설비,설비 이력 조회|설비 변경 이력
ICOM_MES_MOVIE,MES MOVIE 테이블. MES 관련 정보를 관리한다.,MES MOVIE table. Manages mes movie information.,공통,MES MOVIE 공통 마스터,MES 정보 조회|MES 현황
ICOM_MOUNTER_EVENT_UPLOAD,MOUNTER EVENT UPLOAD 테이블. MOUNTER 관련 정보를 관리한다.,MOUNTER EVENT UPLOAD table. Manages mounter event upload information.,공통,EVENT MOUNTER UPLOAD 공통 마스터,MOUNTER 정보 조회|MOUNTER 현황
ICOM_OBJECT_DETECT,OBJECT DETECT 테이블. OBJECT 관련 정보를 관리한다.,OBJECT DETECT table. Manages object detect information.,공통,DETECT OBJECT 공통 마스터,OBJECT 정보 조회|OBJECT 현황
ICOM_PBA_ACTUAL_RESULT,PBA 실적 실적 테이블. PBA 실적 실적 데이터를 기록한다.,PBA Actual result table. Stores pba actual result data.,공통,ACTUAL PBA RESULT 공통 마스터 실적,PBA 실적 조회|일일 PBA 실적
ICOM_SUPPLIER,공급업체 테이블. 공급업체 관련 정보를 관리한다.,Supplier table. Manages supplier information.,공통,SUPPLIER 공급업체 공통 마스터,공급업체 정보 조회|공급업체 현황
ICOM_SUPPLIER_BARCODE,공급업체 바코드 테이블. 공급업체 관련 정보를 관리한다.,Supplier Barcode table. Manages supplier barcode information.,공통,BARCODE SUPPLIER 공급업체 공통 마스터 바코드,공급업체 정보 조회|공급업체 현황
ICOM_SUPPLIER_DATA,공급업체 데이터 테이블. 공급업체 관련 데이터를 저장한다.,Supplier data table. Stores supplier data.,공통,DATA SUPPLIER 공급업체 공통 데이터 마스터,공급업체 정보 조회|공급업체 현황
ICOM_SUPPLIER_DOCUMENT,공급업체 DOCUMENT 테이블. 공급업체 관련 정보를 관리한다.,Supplier DOCUMENT table. Manages supplier document information.,공통,DOCUMENT SUPPLIER 공급업체 공통 마스터,공급업체 정보 조회|공급업체 현황
ICOM_SYSTEM_ANALYSIS,시스템 분석 테이블. 시스템 관련 정보를 관리한다.,System Analysis table. Manages system analysis information.,공통,ANALYSIS SYSTEM 공통 마스터 분석 시스템,시스템 정보 조회|시스템 현황
ICOM_TEMPERATURE_DATA,TEMPERATURE 데이터 테이블. TEMPERATURE 관련 데이터를 저장한다.,TEMPERATURE data table. Stores temperature data.,공통,DATA TEMPERATURE 공통 데이터 마스터,TEMPERATURE 정보 조회|TEMPERATURE 현황
ICOM_TEMPERATURE_RAW,TEMPERATURE RAW 테이블. TEMPERATURE 관련 정보를 관리한다.,TEMPERATURE RAW table. Manages temperature raw information.,공통,RAW TEMPERATURE 공통 마스터,TEMPERATURE 정보 조회|TEMPERATURE 현황
ICOM_WORKTIME_RANGES,WORKTIME RANGES 테이블. WORKTIME 관련 정보를 관리한다.,WORKTIME RANGES table. Manages worktime ranges information.,공통,RANGES WORKTIME 공통 마스터,WORKTIME 정보 조회|WORKTIME 현황
IDZ_INTERLOCK_NG_HIS_DAY,INTERLOCK 불량 HIS DAY 테이블. INTERLOCK 관련 정보를 관리한다.,INTERLOCK NG HIS table. Manages interlock ng his information.,기타,DAY HIS INTERLOCK 불량,INTERLOCK 정보 조회|INTERLOCK 현황
IDZ_INTERLOCK_NG_HIS_LINE,INTERLOCK 불량 HIS 라인 테이블. INTERLOCK 관련 정보를 관리한다.,INTERLOCK NG HIS table. Manages interlock ng his information.,기타,HIS INTERLOCK LINE 라인 불량,INTERLOCK 정보 조회|INTERLOCK 현황
IDZ_INTERLOCK_NG_HIS_TOP10,INTERLOCK 불량 HIS TOP10 테이블. INTERLOCK 관련 정보를 관리한다.,INTERLOCK NG HIS table. Manages interlock ng his information.,기타,HIS INTERLOCK TOP10 불량,INTERLOCK 정보 조회|INTERLOCK 현황
IDZ_INTERLOCK_NG_HIS_WORKSTAGE,INTERLOCK 불량 HIS 공정 테이블. INTERLOCK 관련 정보를 관리한다.,INTERLOCK NG HIS table. Manages interlock ng his information.,기타,HIS INTERLOCK WORKSTAGE 공정 불량,INTERLOCK 정보 조회|INTERLOCK 현황
ID_CUSTOMER_SET_BOM,고객 SET BOM 테이블. 고객 관련 정보를 관리한다.,Customer SET BOM table. Manages customer set bom information.,BOM/설계,BOM CUSTOMER SET 고객 설계,고객 정보 조회|고객 현황
ID_CUSTOMER_SET_BOM_EXCEL,고객 SET BOM EXCEL 테이블. 고객 관련 정보를 관리한다.,Customer SET BOM table. Manages customer set bom information.,BOM/설계,BOM CUSTOMER EXCEL SET 고객 설계,고객 정보 조회|고객 현황
ID_ENG_BOM,설계 BOM 테이블. 설계 관련 정보를 관리한다.,Engineering BOM table. Manages engineering bom information.,BOM/설계,BOM ENG 설계,설계 정보 조회|설계 현황
ID_ENG_BOM_CUSTOMER,설계 BOM 고객 테이블. 설계 관련 정보를 관리한다.,Engineering BOM Customer table. Manages engineering bom customer information.,BOM/설계,BOM CUSTOMER ENG 고객 설계,설계 정보 조회|설계 현황
ID_ENG_BOM_DRAWING,설계 BOM 도면 테이블. 설계 관련 정보를 관리한다.,Engineering BOM Drawing table. Manages engineering bom drawing information.,BOM/설계,BOM DRAWING ENG 도면 설계,설계 정보 조회|설계 현황
ID_ENG_BOM_ECO_WORKSPACE,설계 BOM ECO WORKSPACE 테이블. 설계 관련 정보를 관리한다.,Engineering BOM ECO table. Manages engineering bom eco information.,BOM/설계,BOM ECO ENG WORKSPACE 설계,설계 정보 조회|설계 현황
ID_ENG_BOM_ECO_WORKSPACE_HIS,설계 BOM ECO WORKSPACE 테이블. 설계 관련 정보를 관리한다.,Engineering BOM ECO table. Manages engineering bom eco information.,BOM/설계,BOM ECO ENG HIS WORKSPACE 설계,설계 정보 조회|설계 현황
ID_ENG_BOM_EXCEL,설계 BOM EXCEL 테이블. 설계 관련 정보를 관리한다.,Engineering BOM EXCEL table. Manages engineering bom excel information.,BOM/설계,BOM ENG EXCEL 설계,설계 정보 조회|설계 현황
ID_ENG_BOM_EXCEL_2,설계 BOM EXCEL 테이블. 설계 관련 정보를 관리한다.,Engineering BOM EXCEL table. Manages engineering bom excel information.,BOM/설계,BOM ENG EXCEL 설계,설계 정보 조회|설계 현황
ID_ENG_BOM_EXCEL_3,설계 BOM EXCEL 테이블. 설계 관련 정보를 관리한다.,Engineering BOM EXCEL table. Manages engineering bom excel information.,BOM/설계,BOM ENG EXCEL 설계,설계 정보 조회|설계 현황
ID_ENG_BOM_EXCEL_ES,설계 BOM EXCEL ES 테이블. 설계 관련 정보를 관리한다.,Engineering BOM EXCEL table. Manages engineering bom excel information.,BOM/설계,BOM ENG ES EXCEL 설계,설계 정보 조회|설계 현황
ID_ENG_BOM_EXCEL_LG,설계 BOM EXCEL LG 테이블. 설계 관련 정보를 관리한다.,Engineering BOM EXCEL table. Manages engineering bom excel information.,BOM/설계,BOM ENG EXCEL LG 설계,설계 정보 조회|설계 현황
ID_ENG_BOM_EXCEL_LG_CPR1,설계 BOM EXCEL LG 테이블. 설계 관련 정보를 관리한다.,Engineering BOM EXCEL table. Manages engineering bom excel information.,BOM/설계,BOM CPR1 ENG EXCEL LG 설계,설계 정보 조회|설계 현황
ID_ENG_BOM_EXCEL_LG_CPR2,설계 BOM EXCEL LG 테이블. 설계 관련 정보를 관리한다.,Engineering BOM EXCEL table. Manages engineering bom excel information.,BOM/설계,BOM CPR2 ENG EXCEL LG 설계,설계 정보 조회|설계 현황
ID_ENG_BOM_IMPORT,설계 BOM IMPORT 테이블. 설계 관련 정보를 관리한다.,Engineering BOM IMPORT table. Manages engineering bom import information.,BOM/설계,BOM ENG IMPORT 설계,설계 정보 조회|설계 현황
ID_ENG_BOM_LOOP_CHECK,설계 BOM LOOP 검사/확인 테이블. 설계 검사 결과를 기록한다.,Engineering BOM LOOP table. Manages engineering bom loop information.,BOM/설계,BOM CHECK ENG LOOP 검사 설계,설계 검사 결과|설계 검사 현황
ID_ENG_BOM_MATERIAL_COST,설계 BOM 자재 COST 테이블. 설계 관련 정보를 관리한다.,Engineering BOM Material table. Manages engineering bom material information.,BOM/설계,BOM COST ENG MATERIAL 설계 자재,설계 정보 조회|설계 현황
ID_ENG_BOM_SMT,설계 BOM SMT 테이블. 설계 관련 정보를 관리한다.,Engineering BOM SMT table. Manages engineering bom smt information.,BOM/설계,BOM ENG SMT 설계,설계 정보 조회|설계 현황
ID_ENG_BOM_SMT_BACKUP,설계 BOM SMT 백업 테이블. 변경 전 설계 BOM SMT 데이터를 보관한다.,Engineering BOM SMT backup table. Stores backup of engineering bom smt data.,BOM/설계,BACKUP BOM ENG SMT 백업 설계,설계 정보 조회|설계 현황
ID_ENG_BOM_SMT_BAK,설계 BOM SMT BAK 테이블. 설계 관련 정보를 관리한다.,Engineering BOM SMT table. Manages engineering bom smt information.,BOM/설계,BAK BOM ENG SMT 설계,설계 정보 조회|설계 현황
ID_ENG_BOM_SMT_EXCEL,설계 BOM SMT EXCEL 테이블. 설계 관련 정보를 관리한다.,Engineering BOM SMT table. Manages engineering bom smt information.,BOM/설계,BOM ENG EXCEL SMT 설계,설계 정보 조회|설계 현황
ID_ENG_BOM_SMT_NO_REPLACE,설계 BOM SMT NO 테이블. 설계 관련 정보를 관리한다.,Engineering BOM SMT table. Manages engineering bom smt information.,BOM/설계,BOM ENG NO REPLACE SMT 설계,설계 정보 조회|설계 현황
ID_ENG_BOM_SMT_REPLACE,설계 BOM SMT REPLACE 테이블. 설계 관련 정보를 관리한다.,Engineering BOM SMT table. Manages engineering bom smt information.,BOM/설계,BOM ENG REPLACE SMT 설계,설계 정보 조회|설계 현황
ID_ENG_BOM_TEMP,설계 BOM 온도 테이블. 설계 관련 정보를 관리한다.,Engineering BOM Temperature table. Manages engineering bom temperature information.,BOM/설계,BOM ENG TEMP 설계 온도,설계 정보 조회|설계 현황
ID_ENG_BOM_UNIT,설계 BOM UNIT 테이블. 설계 관련 정보를 관리한다.,Engineering BOM UNIT table. Manages engineering bom unit information.,BOM/설계,BOM ENG UNIT 설계,설계 정보 조회|설계 현황
ID_ENG_BOM_UNIT_QTY_ZERO,설계 BOM UNIT QTY 테이블. 설계 관련 정보를 관리한다.,Engineering BOM UNIT table. Manages engineering bom unit information.,BOM/설계,BOM ENG QTY UNIT ZERO 설계,설계 정보 조회|설계 현황
ID_ENG_BOM_WORKSPACE,설계 BOM WORKSPACE 테이블. 설계 관련 정보를 관리한다.,Engineering BOM WORKSPACE table. Manages engineering bom workspace information.,BOM/설계,BOM ENG WORKSPACE 설계,설계 정보 조회|설계 현황
ID_ITEM,품목 테이블. 품목 관련 정보를 관리한다.,Item table. Manages item information.,BOM/설계,BOM ITEM 설계 품목,품목 정보 조회|품목 현황
ID_ITEM_CLASS,품목 CLASS 테이블. 품목 관련 정보를 관리한다.,Item CLASS table. Manages item class information.,BOM/설계,BOM CLASS ITEM 설계 품목,품목 정보 조회|품목 현황
ID_ITEM_ES,품목 ES 테이블. 품목 관련 정보를 관리한다.,Item ES table. Manages item es information.,BOM/설계,BOM ES ITEM 설계 품목,품목 정보 조회|품목 현황
ID_ITEM_HISTORY,품목 이력 테이블. 품목 변경/처리 이력을 기록한다.,Item history table. Records item change history.,BOM/설계,BOM HISTORY ITEM 설계 이력 품목,품목 이력 조회|품목 변경 이력
ID_ITEM_IMAGE,품목 이미지 테이블. 품목 관련 정보를 관리한다.,Item Image table. Manages item image information.,BOM/설계,BOM IMAGE ITEM 설계 이미지 품목,품목 정보 조회|품목 현황
ID_ITEM_OTP_MASTER,품목 OTP 마스터 테이블. 품목 OTP 정보를 관리한다.,Item OTP master table. Manages item otp information.,BOM/설계,BOM ITEM MASTER OTP 마스터 설계 품목,품목 정보 조회|품목 목록
ID_ITEM_REPLACE,품목 REPLACE 테이블. 품목 관련 정보를 관리한다.,Item REPLACE table. Manages item replace information.,BOM/설계,BOM ITEM REPLACE 설계 품목,품목 정보 조회|품목 현황
ID_ITEM_REPLACE_TEMP,품목 REPLACE 온도 테이블. 품목 관련 정보를 관리한다.,Item REPLACE Temperature table. Manages item replace temperature information.,BOM/설계,BOM ITEM REPLACE TEMP 설계 온도 품목,품목 정보 조회|품목 현황
ID_MFS_BOM,MFS BOM 테이블. MFS 관련 정보를 관리한다.,MFS BOM table. Manages mfs bom information.,BOM/설계,BOM MFS 설계,MFS 정보 조회|MFS 현황
ID_MFS_BOM_TEMP,MFS BOM 온도 테이블. MFS 관련 정보를 관리한다.,MFS BOM Temperature table. Manages mfs bom temperature information.,BOM/설계,BOM MFS TEMP 설계 온도,MFS 정보 조회|MFS 현황
ID_PRODUCT_CLASS,제품 CLASS 테이블. 제품 관련 정보를 관리한다.,Product CLASS table. Manages product class information.,BOM/설계,BOM CLASS PRODUCT 설계 제품,제품 정보 조회|제품 현황
ID_USER,사용자 테이블. 사용자 관련 정보를 관리한다.,User table. Manages user information.,BOM/설계,BOM USER 사용자 설계,사용자 정보 조회|사용자 현황
IF_KEYT_KEYITEM,KEYT KEYITEM 테이블. KEYT 관련 정보를 관리한다.,KEYT KEYITEM table. Manages keyt keyitem information.,기타,KEYITEM KEYT,KEYT 정보 조회|KEYT 현황
IF_KF_MATERIAL_LIST,KF 자재 LIST 테이블. KF 관련 정보를 관리한다.,KF Material LIST table. Manages kf material list information.,기타,KF LIST MATERIAL 자재,KF 정보 조회|KF 현황
IMAN_BRING_IN,BRING IN 테이블. BRING 관련 정보를 관리한다.,BRING IN table. Manages bring in information.,기타,BRING IN,BRING 정보 조회|BRING 현황
IMAN_CARRYING_OUT,CARRYING OUT 테이블. CARRYING 관련 정보를 관리한다.,CARRYING OUT table. Manages carrying out information.,기타,CARRYING OUT,CARRYING 정보 조회|CARRYING 현황
IMCN_FIXASSET,FIXASSET 테이블. FIXASSET 관련 정보를 관리한다.,FIXASSET table. Manages fixasset information.,설비/보전,FIXASSET 설비 장비,FIXASSET 정보 조회|FIXASSET 현황
IMCN_JIG,지그 테이블. 지그 관련 정보를 관리한다.,JIG table. Manages jig information.,설비/보전,JIG 설비 장비 지그,지그 정보 조회|지그 현황
IMCN_JIG_APPLY_MODEL,지그 APPLY 모델 테이블. 지그 관련 정보를 관리한다.,JIG APPLY Model table. Manages jig apply model information.,설비/보전,APPLY JIG MODEL 모델 설비 장비 지그,지그 정보 조회|지그 현황
IMCN_JIG_BACKUPBLOCK_CHECK,지그 BACKUPBLOCK 검사/확인 테이블. 지그 검사 결과를 기록한다.,JIG BACKUPBLOCK Check table. Manages jig backupblock check information.,설비/보전,BACKUPBLOCK CHECK JIG 검사 설비 장비 지그,지그 검사 결과|지그 검사 현황
IMCN_JIG_CABLE,지그 CABLE 테이블. 지그 관련 정보를 관리한다.,JIG CABLE table. Manages jig cable information.,설비/보전,CABLE JIG 설비 장비 지그,지그 정보 조회|지그 현황
IMCN_JIG_FEEDER_ADJUST,지그 피더 조정 테이블. 지그 관련 정보를 관리한다.,JIG Feeder Adjustment table. Manages jig feeder adjustment information.,설비/보전,ADJUST FEEDER JIG 설비 장비 조정 지그 피더,지그 정보 조회|지그 현황
IMCN_JIG_INPUT_HIST,지그 INPUT 이력 테이블. 지그 INPUT 변경/처리 이력을 기록한다.,JIG INPUT history table. Records jig input change history.,설비/보전,HIST INPUT JIG 설비 이력 장비 지그,지그 이력 조회|지그 변경 이력
IMCN_JIG_ISSUE,지그 출고 테이블. 지그 관련 정보를 관리한다.,JIG Issue table. Manages jig issue information.,설비/보전,ISSUE JIG 설비 장비 지그 출고,지그 정보 조회|지그 현황
IMCN_JIG_MASK_CHECK,지그 MASK 검사/확인 테이블. 지그 검사 결과를 기록한다.,JIG MASK Check table. Manages jig mask check information.,설비/보전,CHECK JIG MASK 검사 설비 장비 지그,지그 검사 결과|지그 검사 현황
IMCN_JIG_PM_MASTER,지그 예방보전 마스터 테이블. 지그 예방보전 정보를 관리한다.,JIG Preventive Maintenance master table. Manages jig preventive maintenance information.,설비/보전,JIG MASTER 마스터 설비 예방보전 장비 지그,지그 정보 조회|지그 목록
IMCN_JIG_PM_MASTER_HIST,지그 예방보전 마스터 테이블. 지그 예방보전 정보를 관리한다.,JIG Preventive Maintenance master table. Manages jig preventive maintenance information.,설비/보전,HIST JIG MASTER 마스터 설비 예방보전 이력 장비 지그,지그 이력 조회|지그 변경 이력
IMCN_JIG_REPAIR,지그 수리 테이블. 지그 관련 정보를 관리한다.,JIG Repair table. Manages jig repair information.,설비/보전,JIG REPAIR 설비 수리 장비 지그,지그 정보 조회|지그 현황
